author_url,name,photo_url,author_title,since,company,bio_full,x_url,linked_in_url,theme_title,theme_description,theme_reviews,num_analysis,num_inv_group_research,num_blog_posts,num_comments,num_likes,num_followers,num_following,scraped_date,vendor_name
https://seekingalpha.com/author/moneyshow,MoneyShow,https://static2.seekingalpha.com/images/users_profile/048/743/478/extra_large_pic.png,,Seeking Alpha Analyst since 2017,MoneyShow,"MoneyShow — an industry pioneer in investor education since 1981 — is a global, financial media company, operating the world's leading investment and trading conferences. Each show brings together thousands of investors to attend workshops, presentations and seminars given by the nation's top financial experts. The company also offers exclusive seminars-at-sea, with the investment industry's leading partners. In addition, MoneyShow operates the award-winning, multimedia online community, Moneyshow.com and publishes free Investing and Trading newsletters, which provide individual investors with exclusive ongoing access to the latest investment and trading ideas from the nation's most respected and trusted financial newsletter advisors.",https://www.twitter.com/MoneyShow,https://www.linkedin.com/company/moneyshow/,,,,257,,,21,10,1.75K,4,2024-11-02,matvey_fedosenko
https://seekingalpha.com/author/sa-transcripts,SA Transcripts,https://static3.seekingalpha.com/images/users_profile/000/101/639/extra_large_pic.png,,Seeking Alpha Analyst since 2013,,"Seeking Alpha's transcripts team is responsible for the development of all of our transcript-related projects. We currently publish thousands of quarterly earnings calls per quarter on our site and are continuing to grow and expand our coverage. The purpose of this profile is to allow us to share with our readers new transcript-related developments. Thanks, SA Transcripts Team",https://twitter.com/SeekingAlpha,https://www.linkedin.com/company/56547/,,,,362.76K,,,1,,149.94K,3,2024-11-02,matvey_fedosenko
https://seekingalpha.com/author/dhierin-bechai,Dhierin Bechai,https://static3.seekingalpha.com/images/users_profile/009/932/311/extra_large_pic.png,Investing Group Leader,Seeking Alpha Analyst since 2013,AeroAnalysis,"Dhierin-Perkash Bechai is an aerospace, defense and airline analyst. 
Dhierin runs the investing group The Aerospace Forum, whose goal is to discover investment opportunities in the aerospace, defense and airline industry. With a background in aerospace engineering, he provides analysis of a complex industry with significant growth prospects, and offers context to developments as they occur, describing how they might affect investment theses. His investing ideas are driven by data informed analysis. The investing group also provides direct access to data analytics monitors. 
Learn more.",https://twitter.com/DPBechai,https://nl.linkedin.com/in/dhierin-perkash-bechai-65039078,The Aerospace Forum,In-depth insights from an expert on the aerospace and airline industries,1,2.08K,669,99,11.15K,1.38K,17.41K,8,2024-11-02,matvey_fedosenko
https://seekingalpha.com/author/the-investment-doctor,The Investment Doctor,https://static1.seekingalpha.com/images/users_profile/012/881/201/extra_large_pic.png,Investing Group Leader,Seeking Alpha Analyst since 2013,,"The Investment Doctor is a financial writer, highlighting European small-caps with a 5-7 year investment horizon. He strongly believes a portfolio should consist of a mixture of dividend and growth stocks.
He is the leader of the investment group European Small Cap Ideas which offers exclusive access to actionable research on appealing Europe-focused investment opportunities not found elsewhere. The a focus is on high-quality ideas in the small-cap space, with emphasis on capital gains and dividend income for continuous cash flow. Features include: two model portfolios - the European Small Cap Ideas portfolio and the European REIT Portfolio, weekly updates, educational content to learn more about the European investing opportunities, and an active chat room to discuss the latest developments of the portfolio holdings. Learn more.",https://twitter.com/SeekingAlpha,https://www.linkedin.com/company/56547/,European Small-Cap Ideas,We zoom in on capital gains and dividend income in European small-caps,7,3.65K,,37,10.4K,1.68K,22.1K,12,2024-11-02,matvey_fedosenko
https://seekingalpha.com/author/jr-research,JR Research,https://static1.seekingalpha.com/images/users_profile/051/630/113/extra_large_pic.png,Investing Group Leader,Seeking Alpha Analyst since 2021,,"JR Research is an opportunistic investor. He was recognized by TipRanks as a Top Analyst. He was also recognized by Seeking Alpha as a ""Top Analyst To Follow"" for Technology, Software, and Internet, as well as for Growth and GARP. He identifies attractive risk/reward opportunities supported by robust price action to potentially generate alpha well above the S&P 500. He has also demonstrated outperformance with his picks. He focuses on identifying growth investing opportunities that present the most attractive risk/reward upside potential. His approach combines sharp price action analysis with fundamentals investing. He tends to avoid overhyped and overvalued stocks while capitalizing on battered stocks with significant upside recovery possibilities. He runs the investing group Ultimate Growth Investing  which specializes in identifying high-potential opportunities across various sectors. He focuses on ideas that has strong growth potential and well-beaten contrarian plays, with an 18 to 24 month outlook for the thesis to play out. The group is designed for investors seeking to capitalize on growth stocks with robust fundamentals, buying momentum, and turnaround plays at highly attractive valuations. Learn more",https://twitter.com/SeekingAlpha,https://www.linkedin.com/in/jjere/,Ultimate Growth Investing,Identifying high-potential growth stocks for your portfolio,4,2.37K,1.23K,4,10.37K,10.64K,37.38K,63,2024-11-02,matvey_fedosenko
https://seekingalpha.com/author/the-value-corner,The Value Corner,https://static3.seekingalpha.com/images/users_profile/056/776/751/extra_large_pic.png,,Seeking Alpha Analyst since 2022,,Buffett-style value picks fit for the modern investor | Top 95th percentile of financial bloggers according to TipRanks.Six years of long-horizon investment portfolio management and consulting. I focus on creating portfolio value through synergetic stock picks and ETFs to create robust and profitable value generation solutions. I do not provide or publish investment advice on Seeking Alpha. My articles are opinion pieces only and are not soliciting any content or security. Opinions expressed in my articles are purely my own. My opinions may change at any time and without notice. Please conduct your own research and analysis before purchasing a security or making investment decisions.,https://twitter.com/SeekingAlpha,https://www.linkedin.com/company/56547/,,,,120,,,167,311,1.72K,7,2024-11-02,matvey_fedosenko
https://seekingalpha.com/author/wall-street-week-ahead,Wall Street Week Ahead,https://static1.seekingalpha.com/images/users_profile/028/971/025/extra_large_pic.png,,Seeking Alpha Analyst since 2014,,"Our news team's weekend preview of upcoming IPOs, earnings reports, conference presentations, investor days, IPO lockup expirations, FDA decisions, Barron's mentions, and other key events that could impact stocks.",https://twitter.com/SeekingAlpha,https://www.linkedin.com/company/56547/,,,,385,,,4,,86.13K,4,2024-11-02,matvey_fedosenko
https://seekingalpha.com/author/individual-trader,Individual Trader,https://static.seekingalpha.com/images/users_profile/000/932/120/extra_large_pic.png,,Seeking Alpha Analyst since 2014,Individual traders,"Individual investor with a keen interest in deriving income from investment setups. We do this by buying undervalued profitable stocks with strong balance sheets & minimal debt. Furthermore, when the opportunity arises, we like to write calls against our positions to bring in additional income. Risk management is controlled through position sizing & the use of trailing stop losses over time.",https://twitter.com/IndvTrader,https://www.linkedin.com/company/56547/,,,,2.16K,,26,2.15K,31,17.78K,63,2024-11-02,matvey_fedosenko
https://seekingalpha.com/author/rida-morwa,Rida Morwa,https://static.seekingalpha.com/images/users_profile/000/016/392/extra_large_pic.png,Investing Group Leader,Seeking Alpha Analyst since 2015,Aiko Capital Ltd- High Dividend Opportunities,"Rida Morwa is a former investment and commercial Banker, with over 35 years of experience. He has been advising individual and institutional clients on high-yield investment strategies since 1991. Rida Morwa leads the Investing Group High Dividend Opportunities  where he teams up with some of Seeking Alpha's top income investing analysts. The service focuses on sustainable income through a variety of high yield investments with a targeted safe +9% yield. Features include: model portfolio with buy/sell alerts, preferred and baby bond portfolios for more conservative investors, vibrant and active chat with access to the service’s leaders, dividend and portfolio trackers, and regular market updates. The service philosophy focuses on community, education, and the belief that nobody should invest alone. Learn More.",https://twitter.com/HighDividends,https://www.linkedin.com/company/56547/,High Dividend Opportunities,"The #1 Service for Income Investors and Retirees, +9% dividend yield.",746,2.21K,,373,38.06K,2.89K,117.64K,81,2024-11-02,matvey_fedosenko
https://seekingalpha.com/author/just-the-facts-maam,Just the Facts Maam,https://static3.seekingalpha.com/images/users_profile/002/727/931/extra_large_pic.png,,Seeking Alpha Analyst since 2015,,"I am presently working on a concept, I call investigative investing. A labor intensive exercise that combines investigative experience with mass collaboration in order to identify grossly undervalued stocks that are sitting on significant price moving information. It is a work in progress.",https://twitter.com/SeekingAlpha,https://www.linkedin.com/company/56547/,,,,15,,,571,12,225,7,2024-11-02,matvey_fedosenko
